Results,Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
,7,1000,4096,585.14,0.25,5365.21,163733.12
,8,1000,4096,512,0.21,4992.08,152346.13
,9,1000,4096,455.11,0.18,4394.56,134111.18
,10,1000,4096,409.6,0.16,4052.94,123685.84
,1,1000,8192,8192,9.7,13516.76,206249.36
,2,1000,8192,4096,2.15,15255.12,232774.67
,3,1000,8192,2730.67,0.98,14825.47,226218.75
,4,1000,8192,2048,0.49,16882.02,257599.18
,5,1000,8192,1638.4,0.37,14270.22,217746.33
,6,1000,8192,1365.33,0.29,12362.95,188643.65
,7,1000,8192,1170.29,0.25,10614.84,161969.55
,8,1000,8192,1024,0.2,10201.74,155666.25
,9,1000,8192,910.22,0.18,8907.37,135915.73
,10,1000,8192,819.2,0.17,7919.76,120845.92
,1,1000,16384,16384,13.15,19937.94,152114.39
,2,1000,16384,8192,2.56,25605,195350.65
,3,1000,16384,5461.33,1.31,22155.51,169033.13
,4,1000,16384,4096,0.55,29829.77,227583.07
,5,1000,16384,3276.8,0.42,24789.03,189125.3
,6,1000,16384,2730.67,0.3,23940.09,182648.4
,7,1000,16384,2340.57,0.25,21241.71,162061.42
,8,1000,16384,2048,0.21,19633.31,149790.29
,9,1000,16384,1820.44,0.18,18330.47,139850.36
,10,1000,16384,1638.4,0.17,15801.33,120554.55
,1,1000,32768,32768,20.18,25979.29,99103.12
,2,1000,32768,16384,3.61,36353.35,138677.02
,3,1000,32768,10922.67,1.73,33718.44,128625.64
,4,1000,32768,8192,0.72,45606.12,173973.56
,5,1000,32768,6553.6,0.57,36612.29,139664.8
,6,1000,32768,5461.33,0.46,31534.22,120293.52
,7,1000,32768,4681.14,0.29,36305.52,138494.56
,8,1000,32768,4096,0.21,38347.57,146284.38
,9,1000,32768,3640.89,0.19,33849.05,129123.89
,10,1000,32768,3276.8,0.17,31059.72,118483.41
,1,1000,65536,65536,43.52,24095.22,45957.99
,2,1000,65536,32768,9.1,28792.79,54917.9
,3,1000,65536,21845.33,3.8,30697.82,58551.44
,4,1000,65536,16384,1.85,35496.82,67704.81
,5,1000,65536,13107.2,1.15,36542.12,69698.55
,6,1000,65536,10922.67,0.87,33524.39,63942.71
,7,1000,65536,9362.29,0.63,33990.6,64831.92
,8,1000,65536,8192,0.43,37969.87,72421.78
,9,1000,65536,7281.78,0.37,34695.78,66176.96
,10,1000,65536,6553.6,0.29,35677.99,68050.36
,1,1000,131072,131072,79.27,26455.48,25229.91
,2,1000,131072,65536,15.4,34051.31,32473.86
,3,1000,131072,43690.67,5.65,41222.47,39312.81
,4,1000,131072,32768,2.9,45150.53,43058.9
,5,1000,131072,26214.4,1.97,42612.05,40638.02
,6,1000,131072,21845.33,1.44,40459,38584.71
,7,1000,131072,18724.57,1.05,40677.96,38793.52
,8,1000,131072,16384,0.78,41882.73,39942.48
,9,1000,131072,14563.56,0.65,39568.16,37735.14
,10,1000,131072,13107.2,0.52,40469.93,38595.14
,1,1000,262144,262144,151.36,27710.6,13213.44
,2,1000,262144,131072,40.79,25708.58,12258.81
,3,1000,262144,87381.33,12.82,36354.92,17335.38
,4,1000,262144,65536,6.09,43060.9,20533.04
,5,1000,262144,52428.8,3.78,44348.97,21147.24
,6,1000,262144,43690.67,2.87,40604.71,19361.83
,7,1000,262144,37449.14,2.16,39691.73,18926.49
,8,1000,262144,32768,1.66,39512.25,18840.91
,9,1000,262144,29127.11,1.37,37778.35,18014.12
,10,1000,262144,26214.4,1.06,39733.84,18946.57
,1,1000,524288,524288,295.84,28355.22,6760.41
,2,1000,524288,262144,66.33,31616.95,7538.07
,3,1000,524288,174762.67,25.73,36222.12,8636.03
,4,1000,524288,131072,13.44,39005.17,9299.56
